,gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Bcell_mean,NKcell_mean,Hepatocytes_mean,Monocytes_mean,MouseNeuorons_mean,Max_halflife
8045,CYP46A1,,,,,,,,,,,,,,,,,,,,,,,,,21.914,good,0.9990000000000001,24.664,good,0.9990000000000001,,,,,23.289,23.289
8046,CZM00000032.1,,,,,,,,,,,,,,,,,,,,,,,,,172.96099999999998,weak,0.98,,,,,,,,172.96099999999998,172.96099999999998
8047,CZM00000053.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.531,weak,0.878,,,,,148.531,148.531
8048,CZM00000086.1,,,,,,,,,,,,,,,,,,,,,,,,,73.388,good,0.9990000000000001,,,,,,,,73.388,73.388
8049,CZY00002528.1,,,,,,,,,,,,,,,,,,,,,,,,,21.19,weak,0.935,22.67,weak,0.9520000000000001,,,,,21.93,21.93
8050,D10JHU81E,,,,,,,,,,,,,,,,,,,,,,,,,75.303,good,1.0,114.79799999999999,good,0.9940000000000001,,,,,95.0505,95.0505
8051,D17H6S53E,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.225,weak,0.971,,,,,49.225,49.225
8052,D2WSU81E,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.823,weak,0.9840000000000001,,,,,15.823,15.823
8053,D430041D05RIK,,,,,,,,,,,,,,,,,,,,,,,,,21.708000000000002,good,0.996,25.693,good,0.998,,,,,23.7005,23.7005
8054,D6WSU163E,,,,,,,,,,,,,,,,,,,,,,,,,38.274,weak,0.9790000000000001,42.148,weak,0.995,,,,,40.211,40.211
8055,DAB1,,,,,,,,,,,,,,,,,,,,,,,,,19.487000000000002,weak,0.978,26.451,weak,0.93,,,,,22.969,22.969
8056,DCHS1,,,,,,,,,,,,,,,,,,,,,,,,,21.846999999999998,good,0.92,23.759,good,0.945,,,,,22.802999999999997,22.802999999999997
8057,DCLK1,,,,,,,,,,,,,,,,,,,,,,,,,44.903999999999996,good,0.9990000000000001,54.968999999999994,good,1.0,,,,,49.936499999999995,49.936499999999995
8058,DCLK2,,,,,,,,,,,,,,,,,,,,,,,,,36.789,good,0.9990000000000001,39.493,good,0.997,,,,,38.141000000000005,38.141000000000005
8059,DCUN1D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.833,weak,0.995,,,,,79.833,79.833
8060,DCX,,,,,,,,,,,,,,,,,,,,,,,,,36.049,good,1.0,43.385,good,0.9990000000000001,,,,,39.717,39.717
8061,DDX25,,,,,,,,,,,,,,,,,,,,,,,,,16.793,weak,0.982,16.137999999999998,weak,0.995,,,,,16.4655,16.4655
8062,DENND6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.743,weak,0.98,,,,,46.743,46.743
8063,DIRAS2,,,,,,,,,,,,,,,,,,,,,,,,,20.153,good,0.987,23.726999999999997,good,0.987,,,,,21.939999999999998,21.939999999999998
8064,DIXDC1,,,,,,,,,,,,,,,,,,,,,,,,,20.683000000000003,weak,0.9740000000000001,24.366999999999997,weak,0.966,,,,,22.525,22.525
8065,DLGAP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.352,weak,0.9940000000000001,,,,,32.352,32.352
8066,DLX1,,,,,,,,,,,,,,,,,,,,,,,,,24.101,weak,0.9229999999999999,,,,,,,,24.101,24.101
8067,DMWD,,,,,,,,,,,,,,,,,,,,,,,,,24.905,good,0.992,28.965,good,0.996,,,,,26.935000000000002,26.935000000000002
8068,DNAAF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.263000000000005,weak,0.995,,,,,54.263000000000005,54.263000000000005
8069,DNAJB5,,,,,,,,,,,,,,,,,,,,,,,,,11.382,weak,0.9470000000000001,16.44,weak,0.9690000000000001,,,,,13.911000000000001,13.911000000000001
8070,DNAJC6,,,,,,,,,,,,,,,,,,,,,,,,,30.264,good,0.997,43.101000000000006,good,0.9990000000000001,,,,,36.682500000000005,36.682500000000005
8071,DNAL1,,,,,,,,,,,,,,,,,,,,,,,,,23.588,weak,0.9990000000000001,24.345,weak,0.998,,,,,23.9665,23.9665
8072,DOK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.707,good,0.986,,,,,12.707,12.707
8073,DPP6,,,,,,,,,,,,,,,,,,,,,,,,,27.119,good,0.99,29.631,good,0.9940000000000001,,,,,28.375,28.375
8074,DPYSL5,,,,,,,,,,,,,,,,,,,,,,,,,61.365,good,0.997,81.536,good,0.998,,,,,71.4505,71.4505
8075,DSCAML1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.399000000000001,weak,0.9490000000000001,,,,,12.399000000000001,12.399000000000001
8076,DSG3,,,,,,,,,,,,,,,,,,,,,,,,,82.189,weak,0.997,103.369,weak,0.998,,,,,92.779,92.779
8077,DVL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.163999999999994,weak,0.98,,,,,44.163999999999994,44.163999999999994
8078,DYNC2LI1,,,,,,,,,,,,,,,,,,,,,,,,,26.818,weak,0.95,34.442,weak,0.9440000000000001,,,,,30.630000000000003,30.630000000000003
8079,DYRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.189,weak,0.9990000000000001,,,,,10.189,10.189
8080,DZIP3,,,,,,,,,,,,,,,,,,,,,,,,,32.58,good,0.997,37.867,good,0.993,,,,,35.2235,35.2235
8081,EDIL3,,,,,,,,,,,,,,,,,,,,,,,,,54.745,good,0.998,65.453,good,0.99,,,,,60.099000000000004,60.099000000000004
8082,EDNRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.386999999999997,good,0.99,,,,,30.386999999999997,30.386999999999997
8083,EEF1A2,,,,,,,,,,,,,,,,,,,,,,,,,32.378,weak,0.998,41.298,good,0.99,,,,,36.838,36.838
8084,EEF1B,,,,,,,,,,,,,,,,,,,,,,,,,67.10300000000001,good,1.0,86.21700000000001,good,0.991,,,,,76.66000000000001,76.66000000000001
8085,EFNA3,,,,,,,,,,,,,,,,,,,,,,,,,25.476,weak,0.993,33.851,weak,0.9670000000000001,,,,,29.6635,29.6635
8086,EFNB2,,,,,,,,,,,,,,,,,,,,,,,,,28.759,weak,0.995,30.651999999999997,good,0.998,,,,,29.7055,29.7055
8087,EFNB3,,,,,,,,,,,,,,,,,,,,,,,,,21.675,good,0.996,27.408,good,0.997,,,,,24.5415,24.5415
8088,EFR3B,,,,,,,,,,,,,,,,,,,,,,,,,20.593000000000004,weak,0.9890000000000001,25.076,weak,0.9840000000000001,,,,,22.834500000000002,22.834500000000002
8089,EIF1A,,,,,,,,,,,,,,,,,,,,,,,,,41.611999999999995,weak,0.992,43.483000000000004,weak,0.986,,,,,42.5475,42.5475
8090,EIF2S3X,,,,,,,,,,,,,,,,,,,,,,,,,53.184,good,1.0,62.896,good,0.997,,,,,58.04,58.04
8091,EIF2S3Y,,,,,,,,,,,,,,,,,,,,,,,,,58.49,weak,0.9990000000000001,75.497,weak,0.983,,,,,66.9935,66.9935
8092,ELAVL2,,,,,,,,,,,,,,,,,,,,,,,,,40.073,good,0.997,38.416,good,0.9990000000000001,,,,,39.2445,39.2445
8093,ELAVL3,,,,,,,,,,,,,,,,,,,,,,,,,34.792,good,0.997,37.411,good,0.996,,,,,36.1015,36.1015
8094,ELAVL4,,,,,,,,,,,,,,,,,,,,,,,,,34.904,weak,0.971,36.131,good,0.991,,,,,35.5175,35.5175
8095,ELFN2,,,,,,,,,,,,,,,,,,,,,,,,,29.088,weak,0.9990000000000001,32.681,good,0.998,,,,,30.8845,30.8845
8096,ELMOD1,,,,,,,,,,,,,,,,,,,,,,,,,13.603,good,0.9,15.027000000000001,good,0.862,,,,,14.315000000000001,14.315000000000001
8097,EMX1,,,,,,,,,,,,,,,,,,,,,,,,,22.051,weak,0.872,27.488000000000003,weak,0.945,,,,,24.7695,24.7695
8098,ENC1,,,,,,,,,,,,,,,,,,,,,,,,,10.332,weak,0.924,,,,,,,,10.332,10.332
8099,ENOX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.509,good,0.995,,,,,16.509,16.509
8100,ENPP5,,,,,,,,,,,,,,,,,,,,,,,,,38.446,weak,0.9890000000000001,39.75,good,0.9059999999999999,,,,,39.098,39.098
8101,EPHA5,,,,,,,,,,,,,,,,,,,,,,,,,18.765,good,0.919,17.44,good,0.9470000000000001,,,,,18.1025,18.1025
8102,EPHB1,,,,,,,,,,,,,,,,,,,,,,,,,32.602,weak,0.972,37.977,good,0.8640000000000001,,,,,35.2895,35.2895
8103,ERBB4,,,,,,,,,,,,,,,,,,,,,,,,,19.872,good,0.9740000000000001,18.698,good,0.992,,,,,19.285,19.285
8104,FAAP100,,,,,,,,,,,,,,,,,,,,,,,,,29.214000000000002,weak,0.98,39.36,good,1.0,,,,,34.287,34.287
8105,FABP7,,,,,,,,,,,,,,,,,,,,,,,,,126.025,good,0.99,289.222,good,0.976,,,,,207.62349999999998,207.62349999999998
8106,FAM110B,,,,,,,,,,,,,,,,,,,,,,,,,23.143,good,0.991,27.695999999999998,good,0.997,,,,,25.4195,25.4195
8107,FAM124A,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.023000000000003,weak,0.995,,,,,25.023000000000003,25.023000000000003
8108,FAM131B,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.61,good,0.993,,,,,24.61,24.61
8109,FAM171A2,,,,,,,,,,,,,,,,,,,,,,,,,28.566,good,0.997,35.844,good,0.998,,,,,32.205,32.205
8110,FAM171B,,,,,,,,,,,,,,,,,,,,,,,,,17.474,weak,0.975,19.211,good,0.99,,,,,18.3425,18.3425
8111,FAM196A,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.824,weak,0.996,,,,,26.824,26.824
8112,FAM19A2,,,,,,,,,,,,,,,,,,,,,,,,,18.351,weak,0.925,15.38,weak,0.965,,,,,16.8655,16.8655
8113,FAM21,,,,,,,,,,,,,,,,,,,,,,,,,33.809,good,0.995,52.038000000000004,good,0.9990000000000001,,,,,42.923500000000004,42.923500000000004
8114,FAM234A,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.148999999999994,good,0.99,,,,,46.148999999999994,46.148999999999994
8115,FAM234B,,,,,,,,,,,,,,,,,,,,,,,,,22.588,good,0.951,20.835,good,0.963,,,,,21.7115,21.7115
8116,FAM69B,,,,,,,,,,,,,,,,,,,,,,,,,38.795,good,0.998,40.506,good,0.9940000000000001,,,,,39.6505,39.6505
8117,FAT4,,,,,,,,,,,,,,,,,,,,,,,,,24.44,good,0.948,24.023000000000003,good,0.9329999999999999,,,,,24.231500000000004,24.231500000000004
8118,FAXC,,,,,,,,,,,,,,,,,,,,,,,,,23.932,weak,0.996,24.519000000000002,weak,0.9840000000000001,,,,,24.2255,24.2255
8119,FBXL15,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.002,weak,0.9740000000000001,,,,,26.002,26.002
8120,FBXL16,,,,,,,,,,,,,,,,,,,,,,,,,20.991,good,1.0,25.101,good,1.0,,,,,23.046,23.046
8121,FBXL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.058,weak,0.977,,,,,20.058,20.058
8122,FBXO10,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07,weak,0.9059999999999999,,,,,28.07,28.07
8123,FBXW9,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.783,weak,0.981,,,,,49.783,49.783
8124,FGD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.717,weak,0.9790000000000001,,,,,31.717,31.717
8125,FGF13,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.778000000000002,weak,0.971,,,,,22.778000000000002,22.778000000000002
8126,FGFR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.046,good,0.9620000000000001,,,,,32.046,32.046
8127,FLRT2,,,,,,,,,,,,,,,,,,,,,,,,,19.248,weak,0.946,18.762999999999998,good,0.977,,,,,19.005499999999998,19.005499999999998
8128,FMN2,,,,,,,,,,,,,,,,,,,,,,,,,40.282,good,0.985,40.216,good,0.988,,,,,40.248999999999995,40.248999999999995
8129,FOXG1,,,,,,,,,,,,,,,,,,,,,,,,,18.371,good,0.98,19.756,weak,0.9640000000000001,,,,,19.063499999999998,19.063499999999998
8130,FOXRED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.468,weak,0.902,,,,,68.468,68.468
8131,FRMD4A,,,,,,,,,,,,,,,,,,,,,,,,,31.697,good,0.991,37.304,good,1.0,,,,,34.5005,34.5005
8132,FRMD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.872,good,0.995,,,,,36.872,36.872
8133,FRRS1L,,,,,,,,,,,,,,,,,,,,,,,,,40.035,good,0.988,34.813,weak,0.998,,,,,37.424,37.424
8134,FRS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.552,weak,0.935,,,,,26.552,26.552
8135,FTL1,,,,,,,,,,,,,,,,,,,,,,,,,52.076,good,0.9940000000000001,73.744,good,0.996,,,,,62.91,62.91
8136,FV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.166000000000004,weak,0.9990000000000001,,,,,42.166000000000004,42.166000000000004
8137,FXYD6,,,,,,,,,,,,,,,,,,,,,,,,,42.437,good,0.9990000000000001,50.382,weak,0.998,,,,,46.409499999999994,46.409499999999994
8138,FZD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.741,weak,0.976,,,,,19.741,19.741
8139,G6PDX,,,,,,,,,,,,,,,,,,,,,,,,,69.171,good,0.996,77.53699999999999,good,0.997,,,,,73.354,73.354
8140,GAB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.905,weak,0.987,,,,,57.905,57.905
8141,GABBR1,,,,,,,,,,,,,,,,,,,,,,,,,25.245,good,0.95,29.476,good,0.977,,,,,27.360500000000002,27.360500000000002
8142,GABBR2,,,,,,,,,,,,,,,,,,,,,,,,,23.744,good,0.995,27.993000000000002,good,0.998,,,,,25.8685,25.8685
8143,GABRA1,,,,,,,,,,,,,,,,,,,,,,,,,57.898,weak,0.9990000000000001,,,,,,,,57.898,57.898
8144,GABRA2,,,,,,,,,,,,,,,,,,,,,,,,,21.924,weak,0.9840000000000001,22.086,good,0.99,,,,,22.005,22.005
8145,GABRA3,,,,,,,,,,,,,,,,,,,,,,,,,32.666,good,0.968,30.318,good,0.9670000000000001,,,,,31.491999999999997,31.491999999999997
8146,GABRB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.704,weak,0.993,,,,,31.704,31.704
8147,GABRB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.443,weak,0.975,,,,,26.443,26.443
8148,GABRB3,,,,,,,,,,,,,,,,,,,,,,,,,24.462,good,0.9890000000000001,31.705,good,0.99,,,,,28.0835,28.0835
8149,GABRG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.596999999999998,good,0.968,,,,,24.596999999999998,24.596999999999998
8150,GAD1,,,,,,,,,,,,,,,,,,,,,,,,,14.52,good,0.982,13.577,good,0.992,,,,,14.0485,14.0485
8151,GAD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.868000000000002,good,0.991,,,,,20.868000000000002,20.868000000000002
8152,GAL3ST3,,,,,,,,,,,,,,,,,,,,,,,,,23.609,weak,0.9179999999999999,20.207,weak,0.9059999999999999,,,,,21.908,21.908
8153,GALNT16,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.401999999999997,good,0.955,,,,,27.401999999999997,27.401999999999997
8154,GAREM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.711000000000006,weak,0.9279999999999999,,,,,43.711000000000006,43.711000000000006
8155,GARNL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.512,weak,0.9990000000000001,,,,,41.512,41.512
8156,GATSL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.89,weak,0.991,,,,,31.89,31.89
8157,GDAP1L1,,,,,,,,,,,,,,,,,,,,,,,,,44.354,good,0.998,50.971000000000004,good,0.993,,,,,47.6625,47.6625
8158,GDPD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.55,weak,0.978,,,,,123.55,123.55
8159,GDPD5,,,,,,,,,,,,,,,,,,,,,,,,,46.698,weak,0.872,55.55,good,0.997,,,,,51.123999999999995,51.123999999999995
8160,GJA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.822,good,0.997,,,,,20.822,20.822
8161,GKAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.701,weak,0.987,,,,,32.701,32.701
8162,GM10094,,,,,,,,,,,,,,,,,,,,,,,,,44.228,good,0.997,,,,,,,,44.228,44.228
8163,GM15800,,,,,,,,,,,,,,,,,,,,,,,,,28.104,good,0.9990000000000001,31.228,good,1.0,,,,,29.666,29.666
8164,GM16286,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.09,weak,0.925,,,,,84.09,84.09
8165,GM1840,,,,,,,,,,,,,,,,,,,,,,,,,50.111999999999995,weak,0.98,53.903,weak,0.9940000000000001,,,,,52.00749999999999,52.00749999999999
8166,GM20390,,,,,,,,,,,,,,,,,,,,,,,,,70.222,good,0.986,105.844,good,0.998,,,,,88.03299999999999,88.03299999999999
8167,GM20425,,,,,,,,,,,,,,,,,,,,,,,,,37.885,good,0.9940000000000001,38.599000000000004,good,0.9940000000000001,,,,,38.242000000000004,38.242000000000004
8168,GM21992,,,,,,,,,,,,,,,,,,,,,,,,,30.211,good,0.997,32.948,good,0.998,,,,,31.5795,31.5795
8169,GM3839,,,,,,,,,,,,,,,,,,,,,,,,,71.655,good,1.0,78.039,weak,0.951,,,,,74.84700000000001,74.84700000000001
8170,GM43951,,,,,,,,,,,,,,,,,,,,,,,,,21.584,weak,0.9790000000000001,,,,,,,,21.584,21.584
8171,GM5150,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.125,weak,0.905,,,,,103.125,103.125
8172,GM5269,,,,,,,,,,,,,,,,,,,,,,,,,95.991,weak,0.998,114.117,weak,1.0,,,,,105.054,105.054
8173,GM561,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.521,weak,0.9229999999999999,,,,,48.521,48.521
8174,GM996,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.479,weak,0.91,,,,,43.479,43.479
8175,GNG3,,,,,,,,,,,,,,,,,,,,,,,,,41.231,good,0.998,41.695,good,1.0,,,,,41.463,41.463
8176,GNG4,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.501,good,0.9990000000000001,,,,,40.501,40.501
8177,GOLGA7B,,,,,,,,,,,,,,,,,,,,,,,,,23.087,good,0.9390000000000001,22.48,good,0.958,,,,,22.7835,22.7835
8178,GPC2,,,,,,,,,,,,,,,,,,,,,,,,,75.896,good,0.996,101.99799999999999,good,0.9420000000000001,,,,,88.947,88.947
8179,GPC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.667,weak,0.9229999999999999,,,,,35.667,35.667
8180,GPC4,,,,,,,,,,,,,,,,,,,,,,,,,68.66,good,0.993,51.176,good,0.993,,,,,59.918,59.918
8181,GPM6B,,,,,,,,,,,,,,,,,,,,,,,,,39.019,good,0.9990000000000001,44.185,good,0.997,,,,,41.602000000000004,41.602000000000004
8182,GPR137C,,,,,,,,,,,,,,,,,,,,,,,,,30.570999999999998,weak,1.0,35.001,weak,0.995,,,,,32.786,32.786
8183,GPR89A,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.75399999999999,weak,0.8740000000000001,,,,,80.75399999999999,80.75399999999999
8184,GPRASP1,,,,,,,,,,,,,,,,,,,,,,,,,14.390999999999998,good,0.9,13.686,good,0.897,,,,,14.038499999999999,14.038499999999999
8185,GPRIN1,,,,,,,,,,,,,,,,,,,,,,,,,37.008,good,0.998,54.482,good,1.0,,,,,45.745000000000005,45.745000000000005
8186,GPRIN2,,,,,,,,,,,,,,,,,,,,,,,,,32.798,weak,0.963,46.506,weak,0.982,,,,,39.652,39.652
8187,GPSM1,,,,,,,,,,,,,,,,,,,,,,,,,36.918,good,0.9990000000000001,44.096000000000004,good,0.9990000000000001,,,,,40.507000000000005,40.507000000000005
8188,GRAMD1B,,,,,,,,,,,,,,,,,,,,,,,,,25.13,weak,0.95,25.087,weak,0.995,,,,,25.1085,25.1085
8189,GRCC10,,,,,,,,,,,,,,,,,,,,,,,,,27.686,weak,0.981,21.694000000000003,weak,0.998,,,,,24.69,24.69
8190,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,20.784000000000002,good,0.9940000000000001,22.551,good,0.9990000000000001,,,,,21.6675,21.6675
8191,GRIA2,,,,,,,,,,,,,,,,,,,,,,,,,20.367,good,0.9940000000000001,20.982,good,0.998,,,,,20.674500000000002,20.674500000000002
8192,GRIA3,,,,,,,,,,,,,,,,,,,,,,,,,24.099,weak,0.99,22.551,good,1.0,,,,,23.325,23.325
8193,GRID1,,,,,,,,,,,,,,,,,,,,,,,,,32.405,weak,0.996,39.074,good,0.993,,,,,35.7395,35.7395
8194,GRIK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.62,good,0.985,,,,,21.62,21.62
8195,GRIN1,,,,,,,,,,,,,,,,,,,,,,,,,19.141,good,0.98,16.25,good,0.992,,,,,17.6955,17.6955
8196,GRIP1,,,,,,,,,,,,,,,,,,,,,,,,,33.667,good,0.998,41.208,good,1.0,,,,,37.4375,37.4375
8197,GRM1,,,,,,,,,,,,,,,,,,,,,,,,,23.590999999999998,weak,0.998,27.055,weak,0.98,,,,,25.323,25.323
8198,GRM3,,,,,,,,,,,,,,,,,,,,,,,,,34.141999999999996,weak,0.956,49.641999999999996,good,0.997,,,,,41.891999999999996,41.891999999999996
8199,GSTM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.101,weak,0.912,,,,,149.101,149.101
8200,GTF2H2,,,,,,,,,,,,,,,,,,,,,,,,,59.321999999999996,weak,0.996,65.29899999999999,weak,0.953,,,,,62.31049999999999,62.31049999999999
8201,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.65,good,0.963,,,,,26.65,26.65
8202,HAP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12,weak,0.9420000000000001,,,,,14.12,14.12
8203,HCN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.171,weak,0.95,,,,,30.171,30.171
8204,HCN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.708000000000002,weak,0.9990000000000001,,,,,27.708000000000002,27.708000000000002
8205,HCN4,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.584,good,0.996,,,,,25.584,25.584
8206,HECW2,,,,,,,,,,,,,,,,,,,,,,,,,53.72,weak,0.965,44.75899999999999,good,0.9990000000000001,,,,,49.23949999999999,49.23949999999999
8207,HID1,,,,,,,,,,,,,,,,,,,,,,,,,28.718000000000004,good,0.9990000000000001,33.33,good,0.998,,,,,31.024,31.024
8208,HIST1H2AK,,,,,,,,,,,,,,,,,,,,,,,,,615.525,good,0.98,,,,,,,,615.525,615.525
8209,HIST2H2BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.689,good,0.991,,,,,736.689,736.689
8210,HNRNPLL,,,,,,,,,,,,,,,,,,,,,,,,,60.423,good,0.996,67.107,good,0.995,,,,,63.765,63.765
8211,HPCA,,,,,,,,,,,,,,,,,,,,,,,,,31.279,weak,0.998,34.719,good,0.9990000000000001,,,,,32.999,32.999
8212,HPCAL4,,,,,,,,,,,,,,,,,,,,,,,,,28.217,good,0.998,29.793000000000003,good,0.9990000000000001,,,,,29.005000000000003,29.005000000000003
8213,HSPA12A,,,,,,,,,,,,,,,,,,,,,,,,,45.275,good,0.998,55.323,good,0.996,,,,,50.299,50.299
8214,IAP,,,,,,,,,,,,,,,,,,,,,,,,,18.764,weak,0.98,20.326,weak,0.9329999999999999,,,,,19.545,19.545
8215,ICA1,,,,,,,,,,,,,,,,,,,,,,,,,41.22,weak,0.9990000000000001,42.958,good,0.998,,,,,42.089,42.089
8216,IFT140,,,,,,,,,,,,,,,,,,,,,,,,,28.713,weak,0.973,27.541999999999998,good,0.9890000000000001,,,,,28.127499999999998,28.127499999999998
8217,IFT22,,,,,,,,,,,,,,,,,,,,,,,,,32.745,good,0.997,39.164,good,0.998,,,,,35.954499999999996,35.954499999999996
8218,IFT57,,,,,,,,,,,,,,,,,,,,,,,,,29.581,weak,0.98,,,,,,,,29.581,29.581
8219,IFT81,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.114,good,0.995,,,,,31.114,31.114
8220,IGDCC4,,,,,,,,,,,,,,,,,,,,,,,,,52.696000000000005,weak,0.998,75.503,weak,0.9890000000000001,,,,,64.0995,64.0995
8221,IGF1R,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.15,good,0.992,,,,,37.15,37.15
8222,IGF2BP3,,,,,,,,,,,,,,,,,,,,,,,,,149.22,good,0.987,308.416,weak,0.995,,,,,228.81799999999998,228.81799999999998
8223,IGFBP5,,,,,,,,,,,,,,,,,,,,,,,,,24.624000000000002,weak,0.963,32.34,good,0.9620000000000001,,,,,28.482000000000003,28.482000000000003
8224,IGLON5,,,,,,,,,,,,,,,,,,,,,,,,,59.806999999999995,good,0.9990000000000001,75.176,good,0.998,,,,,67.4915,67.4915
8225,IGSF21,,,,,,,,,,,,,,,,,,,,,,,,,56.81399999999999,good,0.997,62.66,good,1.0,,,,,59.736999999999995,59.736999999999995
8226,IKZF5,,,,,,,,,,,,,,,,,,,,,,,,,30.590999999999998,weak,0.997,33.397,weak,0.9890000000000001,,,,,31.994,31.994
8227,IL1RAPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.624,weak,0.983,,,,,37.624,37.624
8228,ILDR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.954,weak,0.986,,,,,32.954,32.954
8229,ING2,,,,,,,,,,,,,,,,,,,,,,,,,30.889,weak,0.893,28.138,weak,0.9940000000000001,,,,,29.5135,29.5135
8230,INPP5E,,,,,,,,,,,,,,,,,,,,,,,,,37.177,weak,0.96,48.406000000000006,weak,0.982,,,,,42.7915,42.7915
8231,IPI00705932.2,,,,,,,,,,,,,,,,,,,,,,,,,85.586,good,0.966,85.801,good,0.94,,,,,85.6935,85.6935
8232,IPI00764184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.831,weak,1.0,,,,,58.831,58.831
8233,IRGM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.171,weak,0.878,,,,,87.171,87.171
8234,ISLR,,,,,,,,,,,,,,,,,,,,,,,,,20.109,weak,0.992,,,,,,,,20.109,20.109
8235,ISLR2,,,,,,,,,,,,,,,,,,,,,,,,,19.096,good,0.909,17.641,good,0.932,,,,,18.368499999999997,18.368499999999997
8236,ISOC2A,,,,,,,,,,,,,,,,,,,,,,,,,69.16199999999999,weak,0.872,,,,,,,,69.16199999999999,69.16199999999999
8237,JAKMIP2,,,,,,,,,,,,,,,,,,,,,,,,,16.945,good,0.998,18.189,good,0.997,,,,,17.567,17.567
